stop_name,stop_id,stop_code,stop_desc,platform_code,platform_name,stop_lat,stop_lon,zone_id,stop_address,stop_url,level_id,location_type,parent_station,wheelchair_boarding,municipality,on_street,at_street,vehicle_type
Washington St opp Ruggles St,1,1,,,,42.330957,-71.082754,ExpressBus-Downtown,,https://www.mbta.com/stops/1,,0,,1,Boston,Washington Street,Ruggles Street,3
Theo Glynn Way @ Newmarket Sq,10,10,,,,42.330555,-71.068787,LocalBus,,https://www.mbta.com/stops/10,,0,,1,Boston,Theodore Glynn Way,Newmarket Square,3
Tremont St opp Temple Pl,10000,10000,,,,42.355692,-71.062911,LocalBus,,https://www.mbta.com/stops/10000,,0,,1,Boston,Tremont Street,Temple Place,3
Albany St opp Randall St,10003,10003,,,,42.331591,-71.076237,LocalBus,,https://www.mbta.com/stops/10003,,0,,0,Boston,Albany Street,Randall Street,3
Albany St opp E Concord St,10005,10005,,,,42.335017,-71.07128,LocalBus,,https://www.mbta.com/stops/10005,,0,,1,Boston,Albany Street,East Concord Street,3
Albany St opp E Newton St,10006,10006,,,,42.335814,-71.070135,LocalBus,,https://www.mbta.com/stops/10006,,0,,1,Boston,Albany Street,East Newton Street,3
540 Albany St opp Wareham St,10007,10007,,,,42.338372,-71.066556,LocalBus,,https://www.mbta.com/stops/10007,,0,,1,Boston,Albany Street,Wareham Street,3
Albany St opp Randolph St,10008,10008,,,,42.339915,-71.064356,LocalBus,,https://www.mbta.com/stops/10008,,0,,0,Boston,Albany Street,,3
High St @ Duck Lane,10009,10009,,,,42.214986,-70.915924,LocalBus,,https://www.mbta.com/stops/10009,,0,,0,Hingham,High Street,,3
Newton St @ Arlington Rd,1001,1001,,,,42.307661,-71.169522,LocalBus,,https://www.mbta.com/stops/1001,,0,,0,Brookline,Newton Street,,3
Southampton St @ Newmarket St,10010,10010,,,,42.330944,-71.064621,LocalBus,,https://www.mbta.com/stops/10010,,0,,0,Boston,Southampton Street,Newmarket Square,3
Albany St @ Randolph St,10011,10011,,,,42.340162,-71.064227,LocalBus,,https://www.mbta.com/stops/10011,,0,,1,Boston,Albany Street,,3
Albany St @ Wareham St,10012,10012,,,,42.338361,-71.066667,LocalBus,,https://www.mbta.com/stops/10012,,0,,1,Boston,Albany Street,Wareham Street,3
Albany St @ E Dedham St,10013,10013,,,,42.337556,-71.067875,LocalBus,,https://www.mbta.com/stops/10013,,0,,1,Boston,Albany Street,East Dedham Street,3
Albany St opp Boston Medical,10014,10014,,,,42.334342,-71.072226,LocalBus,,https://www.mbta.com/stops/10014,,0,,1,Boston,Albany Street,,3
Harrison Ave @ E Newton St,10015,10015,,,,42.337402,-71.072162,LocalBus,,https://www.mbta.com/stops/10015,,0,,1,Boston,Harrison Avenue,East Newton Street,3
TradeCenter 128,10016,10016,,,,42.499312,-71.162566,LocalBus,,https://www.mbta.com/stops/10016,,0,,0,Woburn,,,3
E 1st St @ P St,10031,10031,,,,42.338307,-71.027132,LocalBus,,https://www.mbta.com/stops/10031,,0,,0,Boston,East First Street,P Street,3
E 1st St opp O St,10032,10032,,,,42.338274,-71.029203,LocalBus,,https://www.mbta.com/stops/10032,,0,,0,Boston,East First Street,O Street,3
E 1st St @ O St,10033,10033,,,,42.338176,-71.029444,LocalBus,,https://www.mbta.com/stops/10033,,0,,0,Boston,East First Street,O Street,3
Massachusetts Ave @ Sidney St,101,101,,,,42.362988,-71.099486,LocalBus,,https://www.mbta.com/stops/101,,0,,0,Cambridge,Massachusetts Avenue,,3
